address,area,area_m2,baths,beds,city,external_id,image,price,property_type,rooms,source,status,title,url
Jardins de Carthage Tunis Tunisie,,,,,Jardins de Carthage,16,,2500,2,,remax,,Jardins de Carthage Tunis Tunisie,https://www.remax.com.tn/listings/16
La Marsa La Marsa Tunis Tunisie,,,,,La Marsa,73,,360000,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/73
Centre Urbain Nord Ariana Tunisie,,,,,Centre Urbain Nord,159,,7500,1,,remax,,Centre Urbain Nord Ariana Tunisie,https://www.remax.com.tn/listings/159
Chotrana 1 La Soukra Ariana Tunisie,,,,,La Soukra,34,,400000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/34
Sidi Daoud Tunis Tunisie,,,,,Sidi Daoud,70,,990000,2,,remax,,Sidi Daoud Tunis Tunisie,https://www.remax.com.tn/listings/70
Cebalet Ben Ammar Sidi Thabet Ariana Tunisie,,,,,Sidi Thabet,47,,2619,2,,remax,,Sidi Thabet Ariana Tunisie,https://www.remax.com.tn/listings/47
Sidi Daoud Tunis Tunisie,,,,,Sidi Daoud,36,,4500,1,,remax,,Sidi Daoud Tunis Tunisie,https://www.remax.com.tn/listings/36
L'Aouina Tunis Tunisie,,,,,L'Aouina,18,,1400000,2,,remax,,L'Aouina Tunis Tunisie,https://www.remax.com.tn/listings/18
Ben Arous Ben Arous Tunisie,,,,,Ben Arous,19,,5525,2,,remax,,Ben Arous Ben Arous Tunisie,https://www.remax.com.tn/listings/19
Ennasr 1-2 Ariana Tunisie,,,,,Ennasr 1-2,287,,1700,2,,remax,,Ennasr 1-2 Ariana Tunisie,https://www.remax.com.tn/listings/287
Carthage Amilcar Tunis Tunisie,,,,,Carthage Amilcar,34,,2700,2,,remax,,Carthage Amilcar Tunis Tunisie,https://www.remax.com.tn/listings/34
Ezzahra Ben Arous Tunisie,,,,,Ezzahra,7,,350000,2,,remax,,Ezzahra Ben Arous Tunisie,https://www.remax.com.tn/listings/7
Mornag Mornag Ben Arous Tunisie,,,,,Mornag,8,,400000,2,,remax,,Mornag Ben Arous Tunisie,https://www.remax.com.tn/listings/8
El Menzah 5 Ariana Tunisie,,,,,El Menzah 5,1,,2619,1,,remax,,El Menzah 5 Ariana Tunisie,https://www.remax.com.tn/listings/1
Bizerte Nord Bizerte Nord Bizerte Tunisie,,,,,Bizerte Nord,201,,1100000,2,,remax,,Bizerte Nord Bizerte Tunisie,https://www.remax.com.tn/listings/201
